127.0.0.1 - - [24/Sep/2021:10:55:45 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:56:47 +0900] "GET /HomeOneHana HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:56:48 +0900] "GET /HomeOneHana/ HTTP/1.1" 200 41643
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:56:49 +0900] "GET /HomeOneHana/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:56:49 +0900] "GET /HomeOneHana/img/team-4.jpg HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:56:49 +0900] "GET /HomeOneHana/resources/img/mainbg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:56:49 +0900] "GET /HomeOneHana/resources/lib/typed/typed.min.js.map HTTP/1.1" 404 871
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:56:49 +0900] "GET /HomeOneHana/resources/lib/lightbox/js/lightbox.min.map HTTP/1.1" 404 881
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:56:51 +0900] "GET /HomeOneHana/chatbot HTTP/1.1" 200 5922
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:56:51 +0900] "GET /HomeOneHana/resources/lib/lightbox/js/lightbox.min.map HTTP/1.1" 404 881
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:56:51 +0900] "GET /HomeOneHana/resources/lib/typed/typed.min.js.map HTTP/1.1" 404 871
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:04:35 +0900] "GET /HomeOneHana/chatbot HTTP/1.1" 200 7343
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:04:35 +0900] "GET /HomeOneHana/resources/css/consult/chatbot.css HTTP/1.1" 200 2495
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:04:35 +0900] "GET /HomeOneHana/resources/js/consult/chatbot.js HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:04:35 +0900] "GET /HomeOneHana/resources/lib/lightbox/js/lightbox.min.map HTTP/1.1" 404 881
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:04:35 +0900] "GET /HomeOneHana/resources/lib/typed/typed.min.js.map HTTP/1.1" 404 871
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:05:22 +0900] "GET /HomeOneHana/chatbot HTTP/1.1" 200 7343
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:05:22 +0900] "GET /HomeOneHana/resources/css/consult/chatbot.css HTTP/1.1" 200 2500
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:05:22 +0900] "GET /HomeOneHana/resources/js/consult/chatbot.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:05:22 +0900] "GET /HomeOneHana/resources/lib/typed/typed.min.js.map HTTP/1.1" 404 871
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:05:22 +0900] "GET /HomeOneHana/resources/lib/lightbox/js/lightbox.min.map HTTP/1.1" 404 881
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:05:48 +0900] "GET /HomeOneHana-Admin/consult/chat HTTP/1.1" 200 27597
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:05:48 +0900] "GET /HomeOneHana-Admin/resources/css/chat/chat.css HTTP/1.1" 200 4665
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:05:48 +0900] "GET /HomeOneHana-Admin/resources/js/chat/chat.js HTTP/1.1" 200 4949
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:05:48 +0900] "GET /HomeOneHana-Admin/resources/js/chat/sockjs.min.js HTTP/1.1" 200 70916
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:05:49 +0900] "GET /HomeOneHana-Admin/resources/js/chat/sockjs.min.js.map HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:05:49 +0900] "GET /HomeOneHana/consult/chat/info?t=1632449149382 HTTP/1.1" 200 76
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:05:49 +0900] "GET /HomeOneHana/consult/chat/794/j2oqir1r/websocket HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:10:04 +0900] "GET /HomeOneHana-Admin/consult/chat HTTP/1.1" 200 27597
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:10:04 +0900] "GET /HomeOneHana-Admin/resources/js/chat/sockjs.min.js.map HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:10:04 +0900] "GET /HomeOneHana/consult/chat/info?t=1632449404563 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:10:04 +0900] "GET /HomeOneHana/consult/chat/229/t4etfmjt/websocket HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:10:06 +0900] "GET /HomeOneHana/chatbot HTTP/1.1" 200 8596
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:10:06 +0900] "GET /HomeOneHana/resources/js/consult/chatbot.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:10:06 +0900] "GET /HomeOneHana/resources/css/consult/chatbot.css HTTP/1.1" 200 2499
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:10:06 +0900] "GET /HomeOneHana/resources/js/sockjs.min.js HTTP/1.1" 200 70916
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:10:06 +0900] "GET /HomeOneHana/resources/img/%ED%95%98%EB%82%98%EC%9D%80%ED%96%89-ci.png HTTP/1.1" 404 888
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:10:06 +0900] "GET /HomeOneHana/resources/js/sockjs.min.js.map HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:10:06 +0900] "GET /HomeOneHana/resources/lib/typed/typed.min.js.map HTTP/1.1" 404 871
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:10:06 +0900] "GET /HomeOneHana/resources/lib/lightbox/js/lightbox.min.map HTTP/1.1" 404 881
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:11:41 +0900] "GET /HomeOneHana/chatbot HTTP/1.1" 200 8596
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:11:41 +0900] "GET /HomeOneHana/resources/css/consult/chatbot.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:11:41 +0900] "GET /HomeOneHana/resources/js/consult/chatbot.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:11:41 +0900] "GET /HomeOneHana/resources/js/sockjs.min.js.map HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:11:41 +0900] "GET /HomeOneHana/resources/img/%ED%95%98%EB%82%98%EC%9D%80%ED%96%89-ci.png HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:11:41 +0900] "GET /HomeOneHana/resources/lib/typed/typed.min.js.map HTTP/1.1" 404 871
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:11:41 +0900] "GET /HomeOneHana/resources/lib/lightbox/js/lightbox.min.map HTTP/1.1" 404 881
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:12:06 +0900] "GET /HomeOneHana/chatbot HTTP/1.1" 200 8596
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:12:06 +0900] "GET /HomeOneHana/resources/js/sockjs.min.js.map HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:12:06 +0900] "GET /HomeOneHana/resources/lib/typed/typed.min.js.map HTTP/1.1" 404 871
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:12:06 +0900] "GET /HomeOneHana/resources/lib/lightbox/js/lightbox.min.map HTTP/1.1" 404 881
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:12:10 +0900] "GET /HomeOneHana/chatbot HTTP/1.1" 200 8596
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:12:10 +0900] "GET /HomeOneHana/resources/css/consult/chatbot.css HTTP/1.1" 200 2499
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:12:10 +0900] "GET /HomeOneHana/resources/js/consult/chatbot.js HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:12:10 +0900] "GET /HomeOneHana/resources/js/sockjs.min.js HTTP/1.1" 200 70916
